table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Tennessee,"6,912,347","6,927,904","6,965,740","7,062,217","7,148,304","7,227,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Texas,"29,149,458","29,239,570","29,570,351","30,113,488","30,727,890","31,290,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Utah,"3,271,608","3,284,077","3,339,738","3,391,011","3,443,222","3,503,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Vermont,"643,082","642,977","647,210","648,142","648,708","648,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Virginia,"8,631,388","8,637,615","8,658,910","8,683,414","8,734,685","8,811,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Washington,"7,707,586","7,727,209","7,743,760","7,794,123","7,857,320","7,958,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.West Virginia,"1,793,736","1,791,646","1,785,618","1,774,122","1,770,495","1,769,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Wisconsin,"5,894,170","5,897,375","5,881,608","5,903,975","5,930,405","5,960,975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Wyoming,"576,844","577,681","579,636","581,978","585,067","587,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Puerto Rico,"3,285,874","3,281,590","3,262,711","3,220,137","3,203,792","3,203,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Census Bureau has reviewed this data product to ensure appropriate access, use, and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number:  P-6000042 and P-7501659. Disclosure Review Board (DRB) approval number: CBDRB-FY25-0078).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: The estimates are developed from a base that integrates the 2020 Census, Vintage 2020 estimates, and (for the U.S. only) 2020 Demographic Analysis estimates.  For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. See Geographic Terms and Definitions at https://www.census.gov/programs-surveys/popest/guidance-geographies/terms-and-definitions.html for a list of the states that are included in each region. All geographic boundaries for the 2024 population estimates series are as of January 1, 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date: December 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
