,cylinders,displacement,horsepower,weight,acceleration,cylinders^2,displacement^2,horsepower^2,weight^2,acceleration^2
36,6,250.0,88.0,3302,15.5,36,62500.0,7744.0,10903204,240.25
37,6,232.0,100.0,3288,15.5,36,53824.0,10000.0,10810944,240.25
38,8,350.0,165.0,4209,12.0,64,122500.0,27225.0,17715681,144.0
39,8,400.0,175.0,4464,11.5,64,160000.0,30625.0,19927296,132.25
40,8,351.0,153.0,4154,13.5,64,123201.0,23409.0,17255716,182.25
41,8,318.0,150.0,4096,13.0,64,101124.0,22500.0,16777216,169.0
42,8,383.0,180.0,4955,11.5,64,146689.0,32400.0,24552025,132.25
43,8,400.0,170.0,4746,12.0,64,160000.0,28900.0,22524516,144.0
44,8,400.0,175.0,5140,12.0,64,160000.0,30625.0,26419600,144.0
45,6,258.0,110.0,2962,13.5,36,66564.0,12100.0,8773444,182.25
46,4,140.0,72.0,2408,19.0,16,19600.0,5184.0,5798464,361.0
47,6,250.0,100.0,3282,15.0,36,62500.0,10000.0,10771524,225.0
48,6,250.0,88.0,3139,14.5,36,62500.0,7744.0,9853321,210.25
49,4,122.0,86.0,2220,14.0,16,14884.0,7396.0,4928400,196.0
50,4,116.0,90.0,2123,14.0,16,13456.0,8100.0,4507129,196.0
51,4,79.0,70.0,2074,19.5,16,6241.0,4900.0,4301476,380.25
52,4,88.0,76.0,2065,14.5,16,7744.0,5776.0,4264225,210.25
53,4,71.0,65.0,1773,19.0,16,5041.0,4225.0,3143529,361.0
54,4,72.0,69.0,1613,18.0,16,5184.0,4761.0,2601769,324.0
55,4,97.0,60.0,1834,19.0,16,9409.0,3600.0,3363556,361.0
56,4,91.0,70.0,1955,20.5,16,8281.0,4900.0,3822025,420.25
57,4,113.0,95.0,2278,15.5,16,12769.0,9025.0,5189284,240.25
58,4,97.5,80.0,2126,17.0,16,9506.25,6400.0,4519876,289.0
59,4,97.0,54.0,2254,23.5,16,9409.0,2916.0,5080516,552.25
60,4,140.0,90.0,2408,19.5,16,19600.0,8100.0,5798464,380.25
61,4,122.0,86.0,2226,16.5,16,14884.0,7396.0,4955076,272.25
62,8,350.0,165.0,4274,12.0,64,122500.0,27225.0,18267076,144.0
63,8,400.0,175.0,4385,12.0,64,160000.0,30625.0,19228225,144.0
64,8,318.0,150.0,4135,13.5,64,101124.0,22500.0,17098225,182.25
65,8,351.0,153.0,4129,13.0,64,123201.0,23409.0,17048641,169.0
66,8,304.0,150.0,3672,11.5,64,92416.0,22500.0,13483584,132.25
67,8,429.0,208.0,4633,11.0,64,184041.0,43264.0,21464689,121.0
68,8,350.0,155.0,4502,13.5,64,122500.0,24025.0,20268004,182.25
69,8,350.0,160.0,4456,13.5,64,122500.0,25600.0,19855936,182.25
70,8,400.0,190.0,4422,12.5,64,160000.0,36100.0,19554084,156.25
71,3,70.0,97.0,2330,13.5,9,4900.0,9409.0,5428900,182.25
72,8,304.0,150.0,3892,12.5,64,92416.0,22500.0,15147664,156.25
73,8,307.0,130.0,4098,14.0,64,94249.0,16900.0,16793604,196.0
74,8,302.0,140.0,4294,16.0,64,91204.0,19600.0,18438436,256.0
75,8,318.0,150.0,4077,14.0,64,101124.0,22500.0,16621929,196.0
76,4,121.0,112.0,2933,14.5,16,14641.0,12544.0,8602489,210.25
77,4,121.0,76.0,2511,18.0,16,14641.0,5776.0,6305121,324.0
78,4,120.0,87.0,2979,19.5,16,14400.0,7569.0,8874441,380.25
79,4,96.0,69.0,2189,18.0,16,9216.0,4761.0,4791721,324.0
80,4,122.0,86.0,2395,16.0,16,14884.0,7396.0,5736025,256.0
81,4,97.0,92.0,2288,17.0,16,9409.0,8464.0,5234944,289.0
82,4,120.0,97.0,2506,14.5,16,14400.0,9409.0,6280036,210.25
83,4,98.0,80.0,2164,15.0,16,9604.0,6400.0,4682896,225.0
84,4,97.0,88.0,2100,16.5,16,9409.0,7744.0,4410000,272.25
85,8,350.0,175.0,4100,13.0,64,122500.0,30625.0,16810000,169.0
86,8,304.0,150.0,3672,11.5,64,92416.0,22500.0,13483584,132.25
87,8,350.0,145.0,3988,13.0,64,122500.0,21025.0,15904144,169.0
88,8,302.0,137.0,4042,14.5,64,91204.0,18769.0,16337764,210.25
89,8,318.0,150.0,3777,12.5,64,101124.0,22500.0,14265729,156.25
90,8,429.0,198.0,4952,11.5,64,184041.0,39204.0,24522304,132.25
91,8,400.0,150.0,4464,12.0,64,160000.0,22500.0,19927296,144.0
92,8,351.0,158.0,4363,13.0,64,123201.0,24964.0,19035769,169.0
93,8,318.0,150.0,4237,14.5,64,101124.0,22500.0,17952169,210.25
94,8,440.0,215.0,4735,11.0,64,193600.0,46225.0,22420225,121.0
95,8,455.0,225.0,4951,11.0,64,207025.0,50625.0,24512401,121.0
96,8,360.0,175.0,3821,11.0,64,129600.0,30625.0,14600041,121.0
97,6,225.0,105.0,3121,16.5,36,50625.0,11025.0,9740641,272.25
98,6,250.0,100.0,3278,18.0,36,62500.0,10000.0,10745284,324.0
99,6,232.0,100.0,2945,16.0,36,53824.0,10000.0,8673025,256.0
100,6,250.0,88.0,3021,16.5,36,62500.0,7744.0,9126441,272.25
101,6,198.0,95.0,2904,16.0,36,39204.0,9025.0,8433216,256.0
102,4,97.0,46.0,1950,21.0,16,9409.0,2116.0,3802500,441.0
103,8,400.0,150.0,4997,14.0,64,160000.0,22500.0,24970009,196.0
104,8,400.0,167.0,4906,12.5,64,160000.0,27889.0,24068836,156.25
105,8,360.0,170.0,4654,13.0,64,129600.0,28900.0,21659716,169.0
106,8,350.0,180.0,4499,12.5,64,122500.0,32400.0,20241001,156.25
107,6,232.0,100.0,2789,15.0,36,53824.0,10000.0,7778521,225.0
108,4,97.0,88.0,2279,19.0,16,9409.0,7744.0,5193841,361.0
109,4,140.0,72.0,2401,19.5,16,19600.0,5184.0,5764801,380.25
110,4,108.0,94.0,2379,16.5,16,11664.0,8836.0,5659641,272.25
111,3,70.0,90.0,2124,13.5,9,4900.0,8100.0,4511376,182.25
112,4,122.0,85.0,2310,18.5,16,14884.0,7225.0,5336100,342.25
113,6,155.0,107.0,2472,14.0,36,24025.0,11449.0,6110784,196.0
114,4,98.0,90.0,2265,15.5,16,9604.0,8100.0,5130225,240.25
115,8,350.0,145.0,4082,13.0,64,122500.0,21025.0,16662724,169.0
116,8,400.0,230.0,4278,9.5,64,160000.0,52900.0,18301284,90.25
117,4,68.0,49.0,1867,19.5,16,4624.0,2401.0,3485689,380.25
118,4,116.0,75.0,2158,15.5,16,13456.0,5625.0,4656964,240.25
119,4,114.0,91.0,2582,14.0,16,12996.0,8281.0,6666724,196.0
120,4,121.0,112.0,2868,15.5,16,14641.0,12544.0,8225424,240.25
121,8,318.0,150.0,3399,11.0,64,101124.0,22500.0,11553201,121.0
122,4,121.0,110.0,2660,14.0,16,14641.0,12100.0,7075600,196.0
123,6,156.0,122.0,2807,13.5,36,24336.0,14884.0,7879249,182.25
124,8,350.0,180.0,3664,11.0,64,122500.0,32400.0,13424896,121.0
125,6,198.0,95.0,3102,16.5,36,39204.0,9025.0,9622404,272.25
127,6,232.0,100.0,2901,16.0,36,53824.0,10000.0,8415801,256.0
128,6,250.0,100.0,3336,17.0,36,62500.0,10000.0,11128896,289.0
129,4,79.0,67.0,1950,19.0,16,6241.0,4489.0,3802500,361.0
130,4,122.0,80.0,2451,16.5,16,14884.0,6400.0,6007401,272.25
131,4,71.0,65.0,1836,21.0,16,5041.0,4225.0,3370896,441.0
132,4,140.0,75.0,2542,17.0,16,19600.0,5625.0,6461764,289.0
133,6,250.0,100.0,3781,17.0,36,62500.0,10000.0,14295961,289.0
134,6,258.0,110.0,3632,18.0,36,66564.0,12100.0,13191424,324.0
135,6,225.0,105.0,3613,16.5,36,50625.0,11025.0,13053769,272.25
136,8,302.0,140.0,4141,14.0,64,91204.0,19600.0,17147881,196.0
137,8,350.0,150.0,4699,14.5,64,122500.0,22500.0,22080601,210.25
138,8,318.0,150.0,4457,13.5,64,101124.0,22500.0,19864849,182.25
139,8,302.0,140.0,4638,16.0,64,91204.0,19600.0,21511044,256.0
140,8,304.0,150.0,4257,15.5,64,92416.0,22500.0,18122049,240.25
141,4,98.0,83.0,2219,16.5,16,9604.0,6889.0,4923961,272.25
142,4,79.0,67.0,1963,15.5,16,6241.0,4489.0,3853369,240.25
143,4,97.0,78.0,2300,14.5,16,9409.0,6084.0,5290000,210.25
144,4,76.0,52.0,1649,16.5,16,5776.0,2704.0,2719201,272.25
145,4,83.0,61.0,2003,19.0,16,6889.0,3721.0,4012009,361.0
146,4,90.0,75.0,2125,14.5,16,8100.0,5625.0,4515625,210.25
147,4,90.0,75.0,2108,15.5,16,8100.0,5625.0,4443664,240.25
148,4,116.0,75.0,2246,14.0,16,13456.0,5625.0,5044516,196.0
149,4,120.0,97.0,2489,15.0,16,14400.0,9409.0,6195121,225.0
150,4,108.0,93.0,2391,15.5,16,11664.0,8649.0,5716881,240.25
151,4,79.0,67.0,2000,16.0,16,6241.0,4489.0,4000000,256.0
152,6,225.0,95.0,3264,16.0,36,50625.0,9025.0,10653696,256.0
153,6,250.0,105.0,3459,16.0,36,62500.0,11025.0,11964681,256.0
154,6,250.0,72.0,3432,21.0,36,62500.0,5184.0,11778624,441.0
155,6,250.0,72.0,3158,19.5,36,62500.0,5184.0,9972964,380.25
156,8,400.0,170.0,4668,11.5,64,160000.0,28900.0,21790224,132.25
157,8,350.0,145.0,4440,14.0,64,122500.0,21025.0,19713600,196.0
158,8,318.0,150.0,4498,14.5,64,101124.0,22500.0,20232004,210.25
159,8,351.0,148.0,4657,13.5,64,123201.0,21904.0,21687649,182.25
160,6,231.0,110.0,3907,21.0,36,53361.0,12100.0,15264649,441.0
161,6,250.0,105.0,3897,18.5,36,62500.0,11025.0,15186609,342.25
162,6,258.0,110.0,3730,19.0,36,66564.0,12100.0,13912900,361.0
163,6,225.0,95.0,3785,19.0,36,50625.0,9025.0,14326225,361.0
164,6,231.0,110.0,3039,15.0,36,53361.0,12100.0,9235521,225.0
165,8,262.0,110.0,3221,13.5,64,68644.0,12100.0,10374841,182.25
166,8,302.0,129.0,3169,12.0,64,91204.0,16641.0,10042561,144.0
167,4,97.0,75.0,2171,16.0,16,9409.0,5625.0,4713241,256.0
168,4,140.0,83.0,2639,17.0,16,19600.0,6889.0,6964321,289.0
169,6,232.0,100.0,2914,16.0,36,53824.0,10000.0,8491396,256.0
170,4,140.0,78.0,2592,18.5,16,19600.0,6084.0,6718464,342.25
171,4,134.0,96.0,2702,13.5,16,17956.0,9216.0,7300804,182.25
172,4,90.0,71.0,2223,16.5,16,8100.0,5041.0,4941729,272.25
173,4,119.0,97.0,2545,17.0,16,14161.0,9409.0,6477025,289.0
174,6,171.0,97.0,2984,14.5,36,29241.0,9409.0,8904256,210.25
175,4,90.0,70.0,1937,14.0,16,8100.0,4900.0,3751969,196.0
176,6,232.0,90.0,3211,17.0,36,53824.0,8100.0,10310521,289.0
177,4,115.0,95.0,2694,15.0,16,13225.0,9025.0,7257636,225.0
178,4,120.0,88.0,2957,17.0,16,14400.0,7744.0,8743849,289.0
179,4,121.0,98.0,2945,14.5,16,14641.0,9604.0,8673025,210.25
180,4,121.0,115.0,2671,13.5,16,14641.0,13225.0,7134241,182.25
181,4,91.0,53.0,1795,17.5,16,8281.0,2809.0,3222025,306.25
182,4,107.0,86.0,2464,15.5,16,11449.0,7396.0,6071296,240.25
183,4,116.0,81.0,2220,16.9,16,13456.0,6561.0,4928400,285.60999999999996
184,4,140.0,92.0,2572,14.9,16,19600.0,8464.0,6615184,222.01000000000002
185,4,98.0,79.0,2255,17.7,16,9604.0,6241.0,5085025,313.28999999999996
186,4,101.0,83.0,2202,15.3,16,10201.0,6889.0,4848804,234.09000000000003
187,8,305.0,140.0,4215,13.0,64,93025.0,19600.0,17766225,169.0
188,8,318.0,150.0,4190,13.0,64,101124.0,22500.0,17556100,169.0
189,8,304.0,120.0,3962,13.9,64,92416.0,14400.0,15697444,193.21
190,8,351.0,152.0,4215,12.8,64,123201.0,23104.0,17766225,163.84000000000003
191,6,225.0,100.0,3233,15.4,36,50625.0,10000.0,10452289,237.16000000000003
192,6,250.0,105.0,3353,14.5,36,62500.0,11025.0,11242609,210.25
193,6,200.0,81.0,3012,17.6,36,40000.0,6561.0,9072144,309.76000000000005
194,6,232.0,90.0,3085,17.6,36,53824.0,8100.0,9517225,309.76000000000005
195,4,85.0,52.0,2035,22.2,16,7225.0,2704.0,4141225,492.84
196,4,98.0,60.0,2164,22.1,16,9604.0,3600.0,4682896,488.4100000000001
197,4,90.0,70.0,1937,14.2,16,8100.0,4900.0,3751969,201.64
198,4,91.0,53.0,1795,17.4,16,8281.0,2809.0,3222025,302.75999999999993
199,6,225.0,100.0,3651,17.7,36,50625.0,10000.0,13329801,313.28999999999996
200,6,250.0,78.0,3574,21.0,36,62500.0,6084.0,12773476,441.0
201,6,250.0,110.0,3645,16.2,36,62500.0,12100.0,13286025,262.44
202,6,258.0,95.0,3193,17.8,36,66564.0,9025.0,10195249,316.84000000000003
203,4,97.0,71.0,1825,12.2,16,9409.0,5041.0,3330625,148.83999999999997
204,4,85.0,70.0,1990,17.0,16,7225.0,4900.0,3960100,289.0
205,4,97.0,75.0,2155,16.4,16,9409.0,5625.0,4644025,268.96
206,4,140.0,72.0,2565,13.6,16,19600.0,5184.0,6579225,184.95999999999998
207,4,130.0,102.0,3150,15.7,16,16900.0,10404.0,9922500,246.48999999999998
208,8,318.0,150.0,3940,13.2,64,101124.0,22500.0,15523600,174.23999999999998
209,4,120.0,88.0,3270,21.9,16,14400.0,7744.0,10692900,479.60999999999996
210,6,156.0,108.0,2930,15.5,36,24336.0,11664.0,8584900,240.25
211,6,168.0,120.0,3820,16.7,36,28224.0,14400.0,14592400,278.89
212,8,350.0,180.0,4380,12.1,64,122500.0,32400.0,19184400,146.41
213,8,350.0,145.0,4055,12.0,64,122500.0,21025.0,16443025,144.0
214,8,302.0,130.0,3870,15.0,64,91204.0,16900.0,14976900,225.0
215,8,318.0,150.0,3755,14.0,64,101124.0,22500.0,14100025,196.0
216,4,98.0,68.0,2045,18.5,16,9604.0,4624.0,4182025,342.25
217,4,111.0,80.0,2155,14.8,16,12321.0,6400.0,4644025,219.04000000000002
218,4,79.0,58.0,1825,18.6,16,6241.0,3364.0,3330625,345.96000000000004
219,4,122.0,96.0,2300,15.5,16,14884.0,9216.0,5290000,240.25
220,4,85.0,70.0,1945,16.8,16,7225.0,4900.0,3783025,282.24
221,8,305.0,145.0,3880,12.5,64,93025.0,21025.0,15054400,156.25
222,8,260.0,110.0,4060,19.0,64,67600.0,12100.0,16483600,361.0
223,8,318.0,145.0,4140,13.7,64,101124.0,21025.0,17139600,187.68999999999997
224,8,302.0,130.0,4295,14.9,64,91204.0,16900.0,18447025,222.01000000000002
225,6,250.0,110.0,3520,16.4,36,62500.0,12100.0,12390400,268.96
226,6,231.0,105.0,3425,16.9,36,53361.0,11025.0,11730625,285.60999999999996
227,6,225.0,100.0,3630,17.7,36,50625.0,10000.0,13176900,313.28999999999996
228,6,250.0,98.0,3525,19.0,36,62500.0,9604.0,12425625,361.0
229,8,400.0,180.0,4220,11.1,64,160000.0,32400.0,17808400,123.21
230,8,350.0,170.0,4165,11.4,64,122500.0,28900.0,17347225,129.96
231,8,400.0,190.0,4325,12.2,64,160000.0,36100.0,18705625,148.83999999999997
232,8,351.0,149.0,4335,14.5,64,123201.0,22201.0,18792225,210.25
233,4,97.0,78.0,1940,14.5,16,9409.0,6084.0,3763600,210.25
234,4,151.0,88.0,2740,16.0,16,22801.0,7744.0,7507600,256.0
235,4,97.0,75.0,2265,18.2,16,9409.0,5625.0,5130225,331.23999999999995
236,4,140.0,89.0,2755,15.8,16,19600.0,7921.0,7590025,249.64000000000001
237,4,98.0,63.0,2051,17.0,16,9604.0,3969.0,4206601,289.0
238,4,98.0,83.0,2075,15.9,16,9604.0,6889.0,4305625,252.81
239,4,97.0,67.0,1985,16.4,16,9409.0,4489.0,3940225,268.96
240,4,97.0,78.0,2190,14.1,16,9409.0,6084.0,4796100,198.81
241,6,146.0,97.0,2815,14.5,36,21316.0,9409.0,7924225,210.25
242,4,121.0,110.0,2600,12.8,16,14641.0,12100.0,6760000,163.84000000000003
243,3,80.0,110.0,2720,13.5,9,6400.0,12100.0,7398400,182.25
244,4,90.0,48.0,1985,21.5,16,8100.0,2304.0,3940225,462.25
245,4,98.0,66.0,1800,14.4,16,9604.0,4356.0,3240000,207.36
246,4,78.0,52.0,1985,19.4,16,6084.0,2704.0,3940225,376.35999999999996
247,4,85.0,70.0,2070,18.6,16,7225.0,4900.0,4284900,345.96000000000004
248,4,91.0,60.0,1800,16.4,16,8281.0,3600.0,3240000,268.96
249,8,260.0,110.0,3365,15.5,64,67600.0,12100.0,11323225,240.25
250,8,318.0,140.0,3735,13.2,64,101124.0,19600.0,13950225,174.23999999999998
251,8,302.0,139.0,3570,12.8,64,91204.0,19321.0,12744900,163.84000000000003
252,6,231.0,105.0,3535,19.2,36,53361.0,11025.0,12496225,368.64
253,6,200.0,95.0,3155,18.2,36,40000.0,9025.0,9954025,331.23999999999995
254,6,200.0,85.0,2965,15.8,36,40000.0,7225.0,8791225,249.64000000000001
255,4,140.0,88.0,2720,15.4,16,19600.0,7744.0,7398400,237.16000000000003
256,6,225.0,100.0,3430,17.2,36,50625.0,10000.0,11764900,295.84
257,6,232.0,90.0,3210,17.2,36,53824.0,8100.0,10304100,295.84
258,6,231.0,105.0,3380,15.8,36,53361.0,11025.0,11424400,249.64000000000001
259,6,200.0,85.0,3070,16.7,36,40000.0,7225.0,9424900,278.89
260,6,225.0,110.0,3620,18.7,36,50625.0,12100.0,13104400,349.69
261,6,258.0,120.0,3410,15.1,36,66564.0,14400.0,11628100,228.01
262,8,305.0,145.0,3425,13.2,64,93025.0,21025.0,11730625,174.23999999999998
263,6,231.0,165.0,3445,13.4,36,53361.0,27225.0,11868025,179.56
264,8,302.0,139.0,3205,11.2,64,91204.0,19321.0,10272025,125.43999999999998
265,8,318.0,140.0,4080,13.7,64,101124.0,19600.0,16646400,187.68999999999997
266,4,98.0,68.0,2155,16.5,16,9604.0,4624.0,4644025,272.25
267,4,134.0,95.0,2560,14.2,16,17956.0,9025.0,6553600,201.64
268,4,119.0,97.0,2300,14.7,16,14161.0,9409.0,5290000,216.08999999999997
269,4,105.0,75.0,2230,14.5,16,11025.0,5625.0,4972900,210.25
270,4,134.0,95.0,2515,14.8,16,17956.0,9025.0,6325225,219.04000000000002
271,4,156.0,105.0,2745,16.7,16,24336.0,11025.0,7535025,278.89
272,4,151.0,85.0,2855,17.6,16,22801.0,7225.0,8151025,309.76000000000005
273,4,119.0,97.0,2405,14.9,16,14161.0,9409.0,5784025,222.01000000000002
274,5,131.0,103.0,2830,15.9,25,17161.0,10609.0,8008900,252.81
275,6,163.0,125.0,3140,13.6,36,26569.0,15625.0,9859600,184.95999999999998
276,4,121.0,115.0,2795,15.7,16,14641.0,13225.0,7812025,246.48999999999998
277,6,163.0,133.0,3410,15.8,36,26569.0,17689.0,11628100,249.64000000000001
278,4,89.0,71.0,1990,14.9,16,7921.0,5041.0,3960100,222.01000000000002
279,4,98.0,68.0,2135,16.6,16,9604.0,4624.0,4558225,275.56000000000006
280,6,231.0,115.0,3245,15.4,36,53361.0,13225.0,10530025,237.16000000000003
281,6,200.0,85.0,2990,18.2,36,40000.0,7225.0,8940100,331.23999999999995
282,4,140.0,88.0,2890,17.3,16,19600.0,7744.0,8352100,299.29
283,6,232.0,90.0,3265,18.2,36,53824.0,8100.0,10660225,331.23999999999995
284,6,225.0,110.0,3360,16.6,36,50625.0,12100.0,11289600,275.56000000000006
285,8,305.0,130.0,3840,15.4,64,93025.0,16900.0,14745600,237.16000000000003
286,8,302.0,129.0,3725,13.4,64,91204.0,16641.0,13875625,179.56
287,8,351.0,138.0,3955,13.2,64,123201.0,19044.0,15642025,174.23999999999998
288,8,318.0,135.0,3830,15.2,64,101124.0,18225.0,14668900,231.04
289,8,350.0,155.0,4360,14.9,64,122500.0,24025.0,19009600,222.01000000000002
290,8,351.0,142.0,4054,14.3,64,123201.0,20164.0,16434916,204.49
291,8,267.0,125.0,3605,15.0,64,71289.0,15625.0,12996025,225.0
292,8,360.0,150.0,3940,13.0,64,129600.0,22500.0,15523600,169.0
293,4,89.0,71.0,1925,14.0,16,7921.0,5041.0,3705625,196.0
294,4,86.0,65.0,1975,15.2,16,7396.0,4225.0,3900625,231.04
295,4,98.0,80.0,1915,14.4,16,9604.0,6400.0,3667225,207.36
296,4,121.0,80.0,2670,15.0,16,14641.0,6400.0,7128900,225.0
297,5,183.0,77.0,3530,20.1,25,33489.0,5929.0,12460900,404.01000000000005
298,8,350.0,125.0,3900,17.4,64,122500.0,15625.0,15210000,302.75999999999993
299,4,141.0,71.0,3190,24.8,16,19881.0,5041.0,10176100,615.0400000000001
300,8,260.0,90.0,3420,22.2,64,67600.0,8100.0,11696400,492.84
301,4,105.0,70.0,2200,13.2,16,11025.0,4900.0,4840000,174.23999999999998
302,4,105.0,70.0,2150,14.9,16,11025.0,4900.0,4622500,222.01000000000002
303,4,85.0,65.0,2020,19.2,16,7225.0,4225.0,4080400,368.64
304,4,91.0,69.0,2130,14.7,16,8281.0,4761.0,4536900,216.08999999999997
305,4,151.0,90.0,2670,16.0,16,22801.0,8100.0,7128900,256.0
306,6,173.0,115.0,2595,11.3,36,29929.0,13225.0,6734025,127.69000000000001
307,6,173.0,115.0,2700,12.9,36,29929.0,13225.0,7290000,166.41
308,4,151.0,90.0,2556,13.2,16,22801.0,8100.0,6533136,174.23999999999998
309,4,98.0,76.0,2144,14.7,16,9604.0,5776.0,4596736,216.08999999999997
310,4,89.0,60.0,1968,18.8,16,7921.0,3600.0,3873024,353.44000000000005
311,4,98.0,70.0,2120,15.5,16,9604.0,4900.0,4494400,240.25
312,4,86.0,65.0,2019,16.4,16,7396.0,4225.0,4076361,268.96
313,4,151.0,90.0,2678,16.5,16,22801.0,8100.0,7171684,272.25
314,4,140.0,88.0,2870,18.1,16,19600.0,7744.0,8236900,327.61000000000007
315,4,151.0,90.0,3003,20.1,16,22801.0,8100.0,9018009,404.01000000000005
316,6,225.0,90.0,3381,18.7,36,50625.0,8100.0,11431161,349.69
317,4,97.0,78.0,2188,15.8,16,9409.0,6084.0,4787344,249.64000000000001
318,4,134.0,90.0,2711,15.5,16,17956.0,8100.0,7349521,240.25
319,4,120.0,75.0,2542,17.5,16,14400.0,5625.0,6461764,306.25
320,4,119.0,92.0,2434,15.0,16,14161.0,8464.0,5924356,225.0
321,4,108.0,75.0,2265,15.2,16,11664.0,5625.0,5130225,231.04
322,4,86.0,65.0,2110,17.9,16,7396.0,4225.0,4452100,320.40999999999997
323,4,156.0,105.0,2800,14.4,16,24336.0,11025.0,7840000,207.36
324,4,85.0,65.0,2110,19.2,16,7225.0,4225.0,4452100,368.64
325,4,90.0,48.0,2085,21.7,16,8100.0,2304.0,4347225,470.89
326,4,90.0,48.0,2335,23.7,16,8100.0,2304.0,5452225,561.6899999999999
327,5,121.0,67.0,2950,19.9,25,14641.0,4489.0,8702500,396.00999999999993
328,4,146.0,67.0,3250,21.8,16,21316.0,4489.0,10562500,475.24
329,4,91.0,67.0,1850,13.8,16,8281.0,4489.0,3422500,190.44000000000003
331,4,97.0,67.0,2145,18.0,16,9409.0,4489.0,4601025,324.0
332,4,89.0,62.0,1845,15.3,16,7921.0,3844.0,3404025,234.09000000000003
333,6,168.0,132.0,2910,11.4,36,28224.0,17424.0,8468100,129.96
334,3,70.0,100.0,2420,12.5,9,4900.0,10000.0,5856400,156.25
335,4,122.0,88.0,2500,15.1,16,14884.0,7744.0,6250000,228.01
337,4,107.0,72.0,2290,17.0,16,11449.0,5184.0,5244100,289.0
338,4,135.0,84.0,2490,15.7,16,18225.0,7056.0,6200100,246.48999999999998
339,4,151.0,84.0,2635,16.4,16,22801.0,7056.0,6943225,268.96
340,4,156.0,92.0,2620,14.4,16,24336.0,8464.0,6864400,207.36
341,6,173.0,110.0,2725,12.6,36,29929.0,12100.0,7425625,158.76
342,4,135.0,84.0,2385,12.9,16,18225.0,7056.0,5688225,166.41
343,4,79.0,58.0,1755,16.9,16,6241.0,3364.0,3080025,285.60999999999996
344,4,86.0,64.0,1875,16.4,16,7396.0,4096.0,3515625,268.96
345,4,81.0,60.0,1760,16.1,16,6561.0,3600.0,3097600,259.21000000000004
346,4,97.0,67.0,2065,17.8,16,9409.0,4489.0,4264225,316.84000000000003
347,4,85.0,65.0,1975,19.4,16,7225.0,4225.0,3900625,376.35999999999996
348,4,89.0,62.0,2050,17.3,16,7921.0,3844.0,4202500,299.29
349,4,91.0,68.0,1985,16.0,16,8281.0,4624.0,3940225,256.0
350,4,105.0,63.0,2215,14.9,16,11025.0,3969.0,4906225,222.01000000000002
351,4,98.0,65.0,2045,16.2,16,9604.0,4225.0,4182025,262.44
